	Month of Period End
Sail Harbor, CT	
Saks, AL	101
Salado, AR	
Salado, TX	210
Salamanca, NY	34
Salcha, AK	153
Salem Heights, OH	159
Salem Lakes, WI	170
Salem, AR	152
Salem, GA	146
Salem, IL	88
Salem, IN	107
Salem, KY	103
Salem, MA	357
Salem, NC	189
Salem, NH	301
Salem, NJ	48
Salem, NY	111
Salem, OH	122
Salem, OR	265
Salem, SC	
Salem, SD	
Salem, UT	187
Salem, VA	136
Salesville, AR	
Salesville, OH	55
Salida del Sol Estates, TX	154
Salida, CA	337
Salina, KS	132
Salina, NY	143
Salinas, CA	434
Saline, MI	215
Salineño, TX	
Salineville, OH	
Salisbury Center, NY	
Salisbury Mills, NY	
Salisbury, MA	356
Salisbury, NC	161
Salisbury, NY	393
Salisbury, PA	
Salix, IA	
Salix, PA	51
Salladasburg, PA	
Salley, SC	
Sallisaw, OK	87
Salmon Brook, CT	182
Salmon Creek, CA	
Salmon Creek, WA	285
Salona, PA	
Salt Creek Commons, IN	
Salt Creek, CO	71
Salt Lake City, UT	331
Salt Lick, KY	161
Salt Point, NY	154
Saltaire, NY	
Saltillo, IN	
Saltillo, MS	
Salton City, CA	185
Salton Sea Beach, CA	
Saltsburg, PA	
Salunga, PA	166
Salvo, NC	355
Samak, UT	
Samburg, TN	
Sammamish, WA	550
Sammons Point, IL	
Samoa, CA	346
Samoset, FL	311
Samson, AL	60
Samsula-Spruce Creek, FL	259
San Angelo, TX	142
San Anselmo, CA	1,154
San Antonio Heights, CA	411
San Antonio, FL	200
San Antonio, TX	164
San Ardo, CA	
San Benito, TX	133
San Bernardino, CA	332
San Bruno, CA	940
San Carlos II, TX	
San Carlos Park, FL	264
San Carlos, CA	1,238
San Carlos, TX	
San Castle, FL	350
San Clemente, CA	742
San Cristobal, NM	
San Diego Country Estates, CA	354
San Diego, CA	650
San Diego, TX	62
San Dimas, CA	495
San Elizario, TX	98
San Felipe, TX	
San Fernando, CA	360
San Fernando, TX	
San Francisco, CA	986
San Gabriel, CA	546
San Geronimo, CA	
San Ildefonso Pueblo, NM	192
San Isidro, TX	
San Jacinto, CA	247
San Joaquin Hills, CA	1,091
San Joaquin, CA	
San Jose, AZ	
San Jose, CA	816
San Jose, NM	
San Juan Bautista, CA	381
San Juan Capistrano, CA	604
San Juan, TX	141
San Leandro, CA	561
San Leanna, TX	
San Leon, TX	201
San Lorenzo, CA	574
San Lorenzo, NM	
San Lucas, CA	
San Luis Obispo, CA	563
San Luis, AZ	199
San Manuel, AZ	145
San Mar, MD	120
San Marcos, CA	522
San Marcos, TX	198
San Marine, OR	
San Marino, CA	877
San Martin, CA	
San Mateo, CA	887
San Mateo, NM	
San Miguel, CA	692
San Miguel, NM	
San Pablo, CA	537
San Pablo, NM	
San Pasqual, CA	
San Pedro, NM	
San Perlita, TX	
San Rafael, CA	754
San Rafael, NM	
San Ramon, CA	711
San Simeon, CA	
San Simon, AZ	
San Tan Valley, AZ	210
San Ygnacio, TX	
San Ysidro, NM	143
Sanatoga, PA	186
Sanborn, NY	181
Sanctuary, TX	
Sand City, CA	475
Sand Coulee, MT	97
Sand Hill, OK	
Sand Hill, PA	132
Sand Lake, MI	134
Sand Lake, NY	211
Sand Point, OK	201
Sand Ridge, NY	61
Sand Springs, OK	149
Sandborn, IN	
Sandia, TX	176
Sandisfield, MA	
Sandoval, IL	
Sandpoint, ID	326
Sands Point, NY	1,084
Sandston, VA	179
Sandusky, IA	
Sandusky, OH	111
Sandwich, IL	177
Sandwich, MA	299
Sandy Creek, NC	
Sandy Creek, NY	
Sandy Hook, CT	218
Sandy Hook, MD	
Sandy Hook, WI	
Sandy Lake, PA	
Sandy Level, VA	
Sandy Oaks, TX	131
Sandy Point, TX	
Sandy Ridge, PA	27
Sandy Springs, GA	236
Sandy Springs, SC	
Sandy Valley, NV	
Sandy, OR	268
Sandy, PA	
Sandy, UT	246
Sandyville, IA	
Sandyville, OH	101
Sanford, FL	210
Sanford, ME	215
Sanford, MI	75
Sanford, NC	167
Sanford, NY	175
Sanford, TX	
Sangaree, SC	202
Sanger, CA	217
Sanger, TX	193
Sangerfield, NY	107
Sanibel, FL	510
Sankertown, PA	
Sans Souci, SC	200
Sansom Park, TX	133
Santa Ana, CA	524
Santa Barbara, CA	1,120
Santa Clara Pueblo, NM	
Santa Clara, CA	1,013
Santa Clara, NM	
Santa Clara, NY	
Santa Clara, OR	284
Santa Clara, TX	
Santa Clara, UT	247
Santa Clarita, CA	419
Santa Claus, GA	
Santa Cruz, CA	706
Santa Cruz, NM	
Santa Fe Foothills, NM	152
Santa Fe Springs, CA	421
Santa Fe, NM	339
Santa Fe, TX	189
Santa Margarita, CA	
Santa Maria, CA	336
Santa Maria, TX	
Santa Monica, CA	1,170
Santa Monica, TX	
Santa Nella, CA	223
Santa Paula, CA	458
Santa Rita Ranch, TX	214
Santa Rosa Valley, CA	599
Santa Rosa, CA	449
Santa Rosa, TX	
Santa Susana, CA	
Santa Teresa, NM	146
Santa Venetia, CA	818
Santa Ynez, CA	851
Santa Ysabel, CA	
Santaquin, UT	164
Santee, CA	494
Santee, SC	135
Santel, TX	
Santiago, WA	
Santo, TX	203
Sappington, MO	142
Sapulpa, OK	139
Saraland, AL	138
Saranac Lake, NY	48
Saranac, MI	
Saranac, NY	90
Saranap, CA	673
Sarasota Springs, FL	298
Sarasota, FL	309
Saratoga Springs, NY	341
Saratoga Springs, UT	208
Saratoga, AR	
Saratoga, CA	1,404
Saratoga, NC	
Saratoga, NY	185
Sarcoxie, MO	53
Sardinia, NY	41
Sardinia, OH	148
Sardis City, AL	154
Sardis, AR	
Sardis, GA	102
Sardis, KY	
Sarepta, LA	44
Sargeant, MN	
Sargent, TX	294
Sarita, TX	
Sartell, MN	153
Satartia, MS	
Satellite Beach, FL	284
Saticoy, CA	
Satsop, WA	197
Satsuma, AL	133
Saucier, MS	94
Saugatuck, CT	
Saugatuck, MI	474
Saugerties South, NY	227
Saugerties, NY	303
Sauget, IL	
Saugus, MA	408
Sauk Centre, MN	
Sauk City, WI	183
Sauk Rapids, MN	115
Sauk Village, IL	126
Saukville, WI	153
Saunders Lake, OR	
Saunemin, IL	
Sausalito, CA	972
Savage, MD	218
Savage, MN	181
Savanna, OK	
Savannah, GA	190
Savannah, MO	70
Savannah, NY	
Savannah, OH	
Savannah, TX	166
Saverton, MO	
Savona, NY	26
Savoy, IL	139
Savoy, MA	
Savoy, TX	125
Saw Creek, PA	151
Sawgrass, FL	377
Sawmills, NC	73
Sawyerville, IL	
Sawyerwood, OH	139
Saxapahaw, NC	
Saxon, SC	210
Saxonburg, PA	
Saybrook Manor, CT	387
Saybrook-on-the-Lake, OH	168
Saybrook, IL	71
Saylorsburg, PA	100
Saylorville, IA	165
Sayre, OK	69
Sayre, PA	101
Sayreville, NJ	260
Sayville, NY	384
Scaggsville, MD	259
Scalp Level, PA	
Scandia, MN	381
Scappoose, OR	257
Scarborough, ME	337
Scarsdale, NY	378
Scenic Oaks, TX	217
Scenic, AZ	
Schaefferstown, PA	
Schaghticoke, NY	
Schall Circle, FL	284
Schaumburg, IL	216
Schenectady, NY	125
Schenevus, NY	
Schererville, IN	156
Schertz, TX	149
Schiller Park, IL	225
Schlater, MS	32
Schlusser, PA	197
Schnecksville, PA	151
Schneider, IN	
Schodack, NY	184
Schoenchen, KS	
Schoeneck, PA	
Schofield Barracks, HI	
Schofield, WI	139
Schoharie, NY	
Schoolcraft, MI	154
Schriever, LA	149
Schroeppel, NY	115
Schubert, PA	
Schulter, OK	
Schuyler Falls, NY	136
Schuyler Lake, NY	
Schuyler, NY	158
Schuyler, VA	222
Schuylerville, NY	250
Schuylkill Haven, PA	78
Schwana, WA	
Schwenksville, PA	181
Science Hill, KY	135
Scio, OR	273
Sciota, IL	
Sciotodale, OH	
Scipio, IN	17
Scipio, NY	
Scipio, OK	
Scissors, TX	
Scituate, MA	502
Scituate, RI	218
Scofield, UT	
Scotch Meadows, NC	
Scotchtown, NY	211
Scotia, CA	239
Scotia, NY	148
Scotland Neck, NC	23
Scotland, PA	
Scotland, TX	
Scotsdale, MO	
Scott City, MO	96
Scott, AR	
Scott, LA	153
Scott, NY	
Scott, OH	42
Scottdale, GA	197
Scottdale, PA	
Scotts Corners, NY	442
Scotts Mills, OR	569
Scotts Valley, CA	652
Scotts, MI	
Scottsbluff, NE	84
Scottsboro, AL	116
Scottsburg, IN	123
Scottsburg, NY	
Scottsdale, AZ	390
Scottsmoor, FL	155
Scottsville, KY	144
Scottsville, NY	131
Scottsville, TX	
Scottsville, VA	
Scottville, IL	
Scottville, MI	69
Scranton, KS	
Scranton, PA	80
Scranton, SC	
Scraper, OK	
Screven, GA	87
Scriba, NY	
Scribner, NE	141
Scurry, TX	165
Sea Breeze, NC	195
Sea Bright, NJ	714
Sea Cliff, NY	566
Sea Girt, NJ	1,105
Sea Isle City, NJ	783
Sea Ranch Lakes, FL	
Sea Ranch, CA	1,212
Seabeck, WA	302
Seaboard, NC	
Seabrook Beach, NH	
Seabrook Farms, NJ	198
Seabrook Island, SC	586
Seabrook, MA	
Seabrook, MD	217
Seabrook, SC	185
Seabrook, TX	147
Seacliff, CA	1,352
Seadrift, TX	113
Seaford, NY	373
Seagoville, TX	187
Seagrove, NC	
Seal Beach, CA	383
Sealy, TX	174
Searchlight, NV	
Searcy, AR	123
Searingtown, NY	546
Searles Valley, CA	30
Searles, MN	
Seaside Heights, NJ	451
Seaside Park, NJ	532
Seaside, CA	548
Seaside, OR	370
Seat Pleasant, MD	254
SeaTac, WA	357
Seaton, IL	
Seatonville, IL	
Seattle, WA	561
Seaview, HI	
Seaville, NJ	229
Sebastian, FL	211
Sebastian, TX	
Sebastopol, CA	610
Sebring, FL	141
Sebring, OH	105
Secaucus, NJ	332
Seco Mines, TX	
Seconsett Island, MA	
Secor, IL	
Secretary, MD	162
Section, AL	63
Security-Widefield, CO	
Sedalia, CO	325
Sedalia, KY	
Sedalia, MO	121
Sedalia, NC	126
Sedan, MT	
Sedco Hills, CA	299
Sedgewickville, MO	
Sedgwick, KS	102
Sedley, VA	
Sedona, AZ	444
Sedro Woolley, WA	398
Seekonk, MA	264
Seeley Lake, MT	290
Seeley, CA	
Seeley, NJ	187
Seelyville, IN	51
Seffner, FL	216
Seguin, TX	181
Seis Lagos, TX	241
Sekiu, WA	
Selah, WA	171
Selby-on-the-Bay, MD	263
Selden, NY	364
Seligman, AZ	110
Selinsgrove, PA	84
Sellersburg, IN	138
Sellersville, PA	220
Selma, AL	49
Selma, CA	245
Selma, IN	
Selma, NC	186
Selma, OR	
Selma, TX	175
Selmont-West Selmont, AL	
Seltzer, PA	196
Seminole Manor, FL	300
Seminole, FL	270
Semmes, AL	142
Sempronius, NY	
Senath, MO	74
Senatobia, MS	150
Seneca Falls, NY	75
Seneca Gardens, KY	
Seneca Knolls, NY	167
Seneca, IL	
Seneca, MO	91
Seneca, NY	
Seneca, PA	74
Seneca, SC	155
Senecaville, OH	
Sennett, NY	54
Senoia, GA	180
Sequim, WA	291
Sequoia Crest, CA	
Sequoyah, OK	
Serena, IL	191
Serenada, TX	292
Sereno del Mar, CA	
Sergeant Bluff, IA	126
Setauket-East Setauket, NY	340
Setauket, NY	362
Seth Ward, TX	
Seton Village, NM	
Seven Corners, VA	321
Seven Devils, NC	328
Seven Fields, PA	
Seven Hills, CO	
Seven Hills, OH	163
Seven Lakes, NC	199
Seven Mile, OH	73
Seven Points, TX	
Seven Springs, NC	
Seven Springs, PA	
Seven Trees, CA	810
Seven Valleys, PA	149
Seventh Mountain, OR	538
Severance, CO	177
Severn, MD	229
Severn, NC	
Severna Park, MD	289
Sevierville, TN	267
Seville, CA	
Seville, FL	
Seville, OH	164
Sewall's Point, FL	373
Sewanee, TN	249
Seward, NE	137
Seward, NY	88
Seward, OK	
Seward, PA	
Sewaren, NJ	
Sewell, NJ	195
Sewickley Heights, PA	471
Sewickley Hills, PA	
Sewickley, PA	199
Seymour, IL	107
Seymour, IN	134
Seymour, MO	117
Seymour, TN	186
Seymour, WI	156
Shabbona, IL	
Shackelford, CA	
Shackle Island, TN	215
Shadeland, IN	170
Shadow Lake, WA	
Shady Cove, OR	242
Shady Dale, GA	
Shady Grove, OK	154
Shady Hills, FL	193
Shady Hollow, TX	294
Shady Shores, TX	281
Shady Side, MD	230
Shadybrook, TX	
Shadyside, OH	125
Shafer, MN	119
Shaft, MD	
Shafter, CA	226
Shaftsburg, MI	
Shaker Church, WA	
Shaker Heights, OH	157
Shakopee, MN	185
Shalimar, FL	224
Shallotte, NC	177
Shallowater, TX	126
Shamokin Dam, PA	
Shamokin, PA	28
Shamrock, OK	
Shandaken, NY	168
Shandon, CA	396
Shaniko, OR	
Shanksville, PA	
Shannon Hills, AR	142
Shannon, GA	94
Shannondale, WV	221
Shanor-Northvue, PA	143
Shark River Hills, NJ	294
Sharon Center, OH	
Sharon Hill, PA	108
Sharon Springs, NY	106
Sharon, CT	
Sharon, MA	325
Sharon, NY	187
Sharon, PA	10
Sharon, SC	167
Sharon, TN	
Sharon, WI	159
Sharonville, OH	173
Sharpes, FL	244
Sharpsburg, GA	187
Sharpsburg, KY	105
Sharpsburg, MD	197
Sharpsburg, NC	106
Sharpsburg, PA	122
Sharpsville, PA	
Shartlesville, PA	
Shasta Lake, CA	254
Shasta, CA	
Shattuck, OK	
Shavano Park, TX	269
Shaver Lake, CA	341
Shavertown, PA	134
Shaw Heights, CO	229
Shaw, MS	
Shawangunk, NY	213
Shawano, WI	143
Shawnee Hills, OH	241
Shawnee, KS	171
Shawnee, OH	
Shawnee, OK	107
Shawneeland, VA	215
Shawneetown, MO	
Shawsville, VA	
Sheakleyville, PA	
Sheatown, PA	
Sheboygan Falls, WI	193
Sheboygan, WI	135
Shedd, OR	
Sheffield Lake, OH	121
Sheffield, AL	99
Sheffield, IL	
Sheffield, MA	
Sheffield, OH	172
Sheffield, PA	
Shelburn, IN	63
Shelburne Falls, MA	182
Shelburne, MA	164
Shelburne, VT	297
Shelby, AL	
Shelby, IN	82
Shelby, MS	
Shelby, NC	138
Shelby, NY	95
Shelby, OH	87
Shelbyville, IN	131
Shelbyville, KY	152
Shelbyville, TN	191
Sheldahl, IA	
Sheldon, SC	
Sheldon, TX	
Shell Point, SC	236
Shell Ridge, CA	
Shelley, ID	194
Shellsburg, IA	99
Shelltown, PA	
Shellytown, PA	
Shelocta, PA	
Shelter Cove, CA	343
Shelter Island Heights, NY	497
Shelter Island, NY	544
Shelton, CT	225
Shelton, NE	
Shelton, WA	249
Shenandoah Farms, VA	306
Shenandoah Heights, PA	67
Shenandoah Junction, WV	
Shenandoah Retreat, VA	383
Shenandoah Shores, VA	293
Shenandoah, LA	141
Shenandoah, PA	56
Shenandoah, TX	182
Shenorock, NY	487
Shepardsville, IN	
Shepherd, MI	93
Shepherd, MT	363
Shepherdstown, WV	247
Shepherdsville, KY	184
Sheppards Mill, NJ	
Sheppton, PA	135
Sherando, VA	
Sherborn, MA	357
Sherburn, MN	32
Sheridan, AR	147
Sheridan, CA	
Sheridan, CO	313
Sheridan, IL	135
Sheridan, IN	159
Sheridan, MI	260
Sheridan, NY	
Sheridan, OR	258
Sherman, CT	
Sherman, IL	124
Sherman, MS	
Sherman, NY	76
Sherman, SD	
Sherman, TX	166
Sherrard, IL	
Sherrelwood, CO	276
Sherrill, AR	
Sherrill, IA	
Sherrill, NY	138
Sherrodsville, OH	38
Sherwood Forest, MD	
Sherwood Manor, CT	158
Sherwood Shores, TX	87
Sherwood, AR	145
Sherwood, MI	175
Sherwood, OH	100
Sherwood, OR	290
Sherwood, WI	163
Shickshinny, PA	66
Shidler, OK	55
Shields, MI	116
Shillington, PA	128
Shiloh, AL	140
Shiloh, IL	136
Shiloh, NJ	
Shiloh, OH	
Shiloh, PA	151
Shindler, SD	
Shingle Springs, CA	312
Shingletown, CA	
Shinnecock Hills, NY	655
Shiocton, WI	
Ship Bottom, NJ	987
Shipman, IL	129
Shipman, VA	140
Shippensburg University, PA	
Shippensburg, PA	115
Shippingport, PA	
Shiremanstown, PA	147
Shirley, IL	
Shirley, IN	97
Shirley, MA	
Shirley, Ma, MA	252
Shirley, NY	276
Shively, KY	118
Shoal Creek Drive, MO	
Shoal Creek Estates, MO	
Shoal Creek, AL	
Shoemakersville, PA	155
Shokan, NY	
Shongaloo, LA	
Shopiere, WI	
Shoreacres, TX	
Shoreham, MI	
Shoreham, NY	297
Shorehaven, NY	191
Shoreline, WA	458
Shoreview, MN	203
Shorewood Forest, IN	144
Shorewood Hills, WI	
Shorewood-Tower Hills-Harbert, MI	310
Shorewood, IL	155
Shorewood, MN	213
Shorewood, WI	203
Short Hills, NJ	588
Short Pump, VA	237
Short, OK	130
Shortsville, NY	100
Show Low, AZ	282
Shreve, OH	47
Shreveport, LA	101
Shrewsbury, MA	301
Shrewsbury, MO	176
Shrewsbury, NJ	354
Shrewsbury, PA	161
Shrub Oak, NY	258
Shubuta, MS	
Shueyville, IA	162
Shumway, AZ	
Shumway, IL	
Shutesbury, MA	
Sibley, LA	79
Sibley, MO	
Sicklerville, NJ	181
Sickles Corner, PA	
Sidell, IL	
Sidman, PA	
Sidney, AR	
Sidney, IL	107
Sidney, IN	20
Sidney, OH	118
Siena College, NY	
Sienna Plantation, TX	175
Sienna, TX	175
Sierra Blanca, TX	
Sierra Madre, CA	767
Sierra Ridge, CO	221
Sierra View, PA	142
Sierra Village, CA	204
Sierra Vista Southeast, AZ	158
Sierra Vista, AZ	164
Siesta Acres, TX	
Siesta Key, FL	737
Siesta Shores, TX	
Siglerville, PA	
Signal Hill, CA	482
Sikeston, MO	101
Siler City, NC	167
Silesia, MT	
Siletz, OR	
Silex, MO	148
Silkworth, PA	
Silo, OK	
Siloam Springs, AR	142
Silsbee, TX	106
Silt, CO	248
Silvana, WA	
Silver City, IA	
Silver City, NC	83
Silver City, NM	156
Silver City, NV	
Silver Creek, MN	
Silver Creek, MO	103
Silver Creek, NY	75
Silver Firs, WA	414
Silver Grove, KY	119
Silver Hill, MD	174
Silver Lake, FL	166
Silver Lake, IN	
Silver Lake, KS	
Silver Lake, MA	
Silver Lake, MN	
Silver Lake, NC	230
Silver Lake, NJ	200
Silver Lake, OH	214
Silver Lake, WI	158
Silver Lakes, CA	205
Silver Plume, CO	
Silver Ridge, NJ	241
Silver Spring, MD	283
Silver Springs Shores East, FL	172
Silver Springs Shores, FL	176
Silver Springs, FL	133
Silver Springs, NV	181
Silver Summit, UT	852
Silverado Resort, CA	881
Silverado, CA	595
Silverdale, KS	
Silverdale, PA	
Silverdale, WA	259
Silverhill, AL	
Silverstreet, SC	
Silverthorne, CO	696
Silverton, OH	240
Silverton, OR	275
Silvis, IL	137
Simi Valley, CA	433
Simla, CO	
Simms, MT	209
Simms, OK	
Simonton Lake, IN	162
Simonton, TX	
Simpson, IL	
Simpson, LA	
Simpson, NC	
Simpson, PA	
Simpsonville, KY	106
Simpsonville, SC	173
Sims Chapel, AL	
Sims, IN	
Sims, NC	
Simsboro, LA	
Simsbury Center, CT	205
Sinclairville, NY	
Singac, NJ	228
Singer, LA	
Singers Glen, VA	
Sinking Spring, PA	137
Sioux City, IA	123
Sioux Falls, SD	190
Sioux Rapids, IA	
Sipsey, AL	
Sisco Heights, WA	
Sisquoc, CA	
Sisters, OR	353
Six Mile Run, NJ	268
Six Mile, SC	
Six Shooter Canyon, AZ	
Sixteen Mile Stand, OH	184
Skaneateles, NY	344
Skellytown, TX	
Skelp, PA	
Skiatook, OK	147
Skidaway Island, GA	289
Skidmore, MO	
Skidmore, TX	
Skillman, NJ	293
Skippack, PA	181
Skippers Corner, NC	153
Skokie, IL	262
Skokomish, WA	
Skwentna, AK	
Sky Lake, FL	133
Sky Valley, CA	
Skykomish, WA	
Skyland Estates, VA	278
Skyland, NV	
Skyline Acres, OH	
Skyline View, PA	
Skyline, AL	64
Slabtown, PA	
Slatedale, PA	81
Slater-Marietta, SC	178
Slater, IA	186
Slater, MO	124
Slaterville Springs, NY	
Slatington, PA	126
Slaton, TX	136
Slaughter, LA	
Slaughterville, OK	152
Slayden, TN	
Sleepy Eye, MN	
Sleepy Hollow, CA	905
Sleepy Hollow, IL	191
Sleepy Hollow, NY	546
Slick, OK	
Slickville, PA	
Slidell, LA	125
Slinger, WI	191
Slippery Rock, PA	170
Sloan, IA	155
Sloan, NY	125
Sloatsburg, NY	263
Slocomb, AL	136
Slovan, PA	
Smackover, AR	
Smarr, GA	
Smartsville, CA	
Smethport, PA	
Smicksburg, PA	
Smith Corner, CA	
Smith Mills, MA	251
Smith River, CA	297
Smith Valley, NV	276
Smith Village, OK	
Smithboro, IL	
Smithfield, IL	
Smithfield, KY	
Smithfield, NC	194
Smithfield, NY	199
Smithfield, OH	
Smithfield, PA	41
Smithfield, RI	254
Smithfield, UT	173
Smithfield, VA	188
Smithland, IA	
Smithland, KY	
Smiths Grove, KY	142
Smiths Station, AL	124
Smithsburg, MD	124
Smithton, IL	130
Smithton, MO	134
Smithton, PA	
Smithtown, NC	
Smithtown, NY	386
Smithville-Sanders, IN	140
Smithville, GA	
Smithville, IL	
Smithville, MO	154
Smithville, NJ	160
Smithville, OH	
Smithville, TX	219
Smock, PA	
Smoke Rise, AL	136
Smoketown, PA	
Smokey Point, WA	418
Smolan, KS	
Smyrna, DE	168
Smyrna, GA	214
Smyrna, SC	
Smyrna, TN	214
Snead, AL	135
Sneads Ferry, NC	200
Snelling, CA	
Snellville, GA	158
Snohomish, WA	365
Snook, TX	174
Snoqualmie Pass, WA	673
Snoqualmie, WA	432
Snow Shoe, PA	
Snowflake, AZ	187
Snowmass Village, CO	1,556
Snowslip, MT	
Snowville, UT	
Snowville, VA	61
Snyder, CO	
Snyder, NE	
Snyder, TX	41
Snydertown, PA	
Snyderville, UT	817
So-Highway, AZ	
Soap Lake, WA	396
Sobieski, WI	185
Socastee, SC	194
Social Circle, GA	158
Society Hill, NJ	276
Socorro, TX	133
Soda Bay, CA	185
Soda Springs, CA	
Sodaville, OR	
Sodus Point, NY	
Sodus, NY	105
Soham, NM	
Solana Beach, CA	997
Solana, FL	198
Soldier, KS	
Soledad, CA	293
Solis, TX	
Solomon, AZ	
Solomons, MD	211
Solon Mills, IL	
Solon, IA	132
Solon, NY	
Solon, OH	184
Solvang, CA	563
Solvay, NY	116
Solway, MN	
Sombrillo, NM	268
Somerdale, NJ	176
Somers Point, NJ	294
Somers, CT	191
Somers, MT	740
Somers, NY	349
Somers, WI	185
Somerset, IN	44
Somerset, KS	
Somerset, KY	101
Somerset, MA	305
Somerset, MD	668
Somerset, NJ	265
Somerset, NY	104
Somerset, OH	201
Somerset, PA	75
Somerset, TX	172
Somerset, WI	206
Somersworth, NH	235
Somerton, AZ	191
Somerville, AL	152
Somerville, MA	690
Somerville, NJ	307
Somerville, OH	
Somerville, TN	151
Somerville, TX	450
Somis, CA	
Somonauk, IL	119
Sonoita, AZ	248
Sonoma, CA	712
Sonora, CA	209
Sonora, KY	
Sonterra, TX	166
Sopchoppy, FL	210
Soperton, GA	
Soquel, CA	598
Sorento, IL	
Sorgho, KY	157
Sorrel, LA	
Sorrento, FL	205
Sorrento, LA	150
Soudersburg, PA	
Souderton, PA	181
Soulsbyville, CA	216
Sound Beach, NY	280
Sour John, OK	
Sour Lake, TX	86
South Alamo, TX	167
South Amboy, NJ	297
South Amherst, MA	251
South Amherst, OH	137
South Apopka, FL	212
South Ashburnham, MA	336
South Barre, VT	
South Barrington, IL	144
South Bay, FL	
South Beach, FL	457
South Beloit, IL	106
South Bend, IN	107
South Bend, NE	
South Berwick, ME	218
South Bethlehem, PA	93
South Bloomfield, OH	166
South Blooming Grove, NY	317
South Boardman, MI	
South Bound Brook, NJ	298
South Bradenton, FL	184
South Bristol, NY	174
South Brooksville, FL	207
South Burlington, VT	267
South Canal, OH	102
South Carrollton, KY	
South Carthage, TN	148
South Charleston, OH	81
South Chicago Heights, IL	127
South Cle Elum, WA	469
South Cleveland, TN	163
South Coatesville, PA	
South Connellsville, PA	
South Corning, NY	
South Coventry, CT	258
South Coyote, CA	
South Creek, WA	
South Dayton, NY	
South Daytona, FL	174
South Deerfield, MA	
South Dennis, MA	469
South Dennis, NJ	159
South Dos Palos, CA	51
South Duxbury, MA	425
South Edmeston, NY	
South El Monte, CA	464
South Elgin, IL	189
South Eliot, ME	
South Euclid, OH	120
South Farmingdale, NY	414
South Floral Park, NY	
South Fork, MO	
South Fork, PA	
South Frydek, TX	
South Fulton, GA	155
South Fulton, TN	
South Gate Ridge, FL	277
South Gate, CA	539
South Gate, MD	215
South Glens Falls, NY	124
South Greensburg, PA	188
South Gull Lake, MI	388
South Hadley, MA	191
South Hamilton, MA	
South Haven, IN	159
South Haven, MN	162
South Heights, PA	12
South Hempstead, NY	
South Henderson, NC	
South Hero, VT	
South Highpoint, FL	315
South Hill, NY	
South Hill, WA	266
South Hills, MT	
South Holland, IL	132
South Hooksett, NH	242
South Houston, TX	164
South Huntington, NY	305
South Hutchinson, KS	86
South Ilion, NY	
South Jacksonville, IL	79
South Jordan, UT	213
South Kensington, MD	371
South Kingstown, RI	320
South La Paloma, TX	
South Lake Tahoe, CA	512
South Lakes, AK	198
South Lancaster, MA	
South Lansing, NY	
South Laurel, MD	239
South Lebanon, OH	205
South Lebanon, OR	
South Lima, NY	
South Lockport, NY	93
South Lyon, MI	192
South Mansfield, LA	
South Miami Heights, FL	322
South Miami, FL	471
South Mills, NC	
South Milwaukee, WI	170
South Monroe, MI	162
South Monrovia Island, CA	605
South Mount Vernon, OH	67
South Mountain, TX	
South New Castle, PA	
South Nyack, NY	
South Ogden, UT	194
South Oroville, CA	274
South Padre Island, TX	373
South Palm Beach, FL	391
South Park Township, PA	182
South Pasadena, CA	867
South Pasadena, FL	284
South Patrick Shores, FL	341
South Pekin, IL	75
South Philipsburg, PA	112
South Plainfield, NJ	271
South Point, OH	119
South Point, TX	
South Portland, ME	359
South Pottstown, PA	253
South Prairie, WA	
South Range, MI	118
South Renovo, PA	55
South Riding, VA	278
South River, NJ	296
South River, NM	
South Rockwood, MI	129
South Rosemary, NC	
South Roxana, IL	89
South Royalton, VT	
South Run, VA	282
South Russell, OH	149
South Salem, OH	
South Salt Lake, UT	263
South San Francisco, CA	848
South San Gabriel, CA	652
South San Jose Hills, CA	602
South Sanford, ME	260
South Sarasota, FL	474
South Seaville, NJ	
South Shaftsbury, VT	
South Shore, KY	
South Shore, SD	
South Sioux City, NE	
South Solon, OH	107
South St. Paul, MN	180
South Sumter, SC	
South Taft, CA	117
South Temple, PA	156
South Toms River, NJ	243
South Trona, CA	30
South Tucson, AZ	203
South Union, SC	
South Uniontown, PA	95
South Vacherie, LA	153
South Valley Stream, NY	378
South Valley, NY	
South Van Horn, AK	
South Venice, FL	258
South Vienna, OH	
South Vinemont, AL	127
South Waverly, PA	126
South Weber, UT	195
South Webster, OH	
South Weldon, NC	
South Wenatchee, WA	
South Weymouth, MA	
South Whitley, IN	13
South Whittier, CA	553
South Willard, UT	135
South Williamsport, PA	120
South Wilmington, IL	
South Wilton, CT	346
South Windham, CT	166
South Windham, ME	286
South Woodstock, CT	173
South Woodstock, VT	
South Yarmouth, MA	490
South Zanesville, OH	96
Southampton, MA	286
Southampton, NY	1,345
Southaven, MS	158
Southborough, MA	325
Southbridge Town, MA	222
Southbridge, MA	222
Southbridge, VA	
Southchase, FL	198
Southeast Arcadia, FL	167
Southeast, NY	241
Southern Gateway, VA	232
Southern Pines, NC	223
Southern Shops, SC	
Southern Shores, NC	242
Southern Ute, CO	
Southern View, IL	95
Southfield, MI	145
Southgate, FL	302
Southgate, KY	203
Southgate, MI	144
Southglenn, CO	273
Southlake, TX	322
Southmayd, TX	
